source_url	parsed_url
https://1.1.1.1/	https://www.cloudflare.com/careers/departments/
https://1.1.1.1/	https://itunes.apple.com/us/app/1-1-1-1-faster-internet/id1423538627
https://1.1.1.1/	https://1.1.1.1/dns/
https://1.1.1.1/	https://twitter.com/intent/tweet?text=ISPs%20spy%20on%20your%20Internet%20traffic%20and%20sell%20the%20data.%20I%27m%20in%20line%20to%20get%201.1.1.1%20with%20WARP%2C%20a%20free%20app%20which%20will%20make%20the%20Internet%20on%20my%20phone%20faster%20and%20more%20private.%20You%20should%20get%20the%20app%20to%20reserve%20a%20place%20in%20line%3A%20https%3A//one.one.one.one
https://1.1.1.1/	https://1.1.1.1/site-2720bd4542ddc4b3161f.css
https://1.1.1.1/	https://1.1.1.1/favicon.ico
https://1.1.1.1/	https://1.1.1.1
https://1.1.1.1/	https://1.1.1.1/media/manifest.json
https://1.1.1.1/	https://1.1.1.1/#a
https://1.1.1.1/	https://play.google.com/store/apps/details?id=com.cloudflare.onedotonedotonedotone
https://1.1.1.1/	https://cloudflare.com
https://1.1.1.1/	https://1.1.1.1/#b
https://1.1.1.1/	https://blog.cloudflare.com/1111-warp-better-vpn/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tipsheets/morning-money
https://www.politico.com/tipsheets/morning-money	https://www.facebook.com/politico/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2019/11/22/more-on-wall-street-and-impeachment-782919
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/congress
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/cartoon-carousel
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/agenda/future-of-prosperity
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/playbook
https://www.politico.com/tipsheets/morning-money	http://www.twitter.com/morningmoneyben
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2019/11/21/elizabeth-warren-zuckerbergs-secret-dinner-with-trump-072410
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2020-elections
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2019/11/21/pelosi-doubt-usmca-passing-072459
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/privacy-policy
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2019/11/21/trump-trade-investigation-european-union-072517
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/playbook-pm
https://www.politico.com/tipsheets/morning-money	https://twitter.com/politico
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/terms-of-service
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/technology
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/2020-election/democratic-presidential-candidates/endorsements/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-60x60.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/trade
https://www.politico.com/tipsheets/morning-money	https://www.bloomberg.com/news/articles/2019-11-21/the-world-may-have-a-bigger-problem-than-a-potential-recession?srnd=premium
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/advertising
https://www.politico.com/tipsheets/morning-money	https://apnews.com/a8cbcc8a69d54361a6486b81fdc4d93d
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/rss
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-72x72.png
https://www.politico.com/tipsheets/morning-money	http://www.twitter.com/AubreeEWeaver
https://www.politico.com/tipsheets/morning-money	mailto:bwhite@politico.com
